Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Gabon,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,21.295,21.425,21.442,31.113,34.063,44.703,64.199,62.886,60.914,59.549,72.504,2019
The Gambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.555,16.544,19.119,17.674,18.982,19.578,19.545,24.248,21.142,23.575,23.627,2018
The Gambia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,42.949,49.241,49.492,58.244,71.086,69.369,80.948,86.979,84.611,80.115,75.827,2018
Ghana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.011,19.6,22.113,21.709,21.405,18.946,20.308,18.002,21.451,21.079,28.279,2018
Ghana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,34.578,31.426,35.583,43.217,51.159,54.802,57.094,58.324,63.234,63.899,78.009,2018
Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.511,16.041,20.041,18.639,20.178,21.702,16.137,17.326,15.608,14.594,18.158,2019
Guinea,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,68.853,58.082,27.185,33.967,35.09,41.938,42.453,40.483,38.29,36.786,41.379,2019
Guinea-Bissau,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.549,17.313,12.974,12.416,22.959,21.503,20.516,18.108,20.111,19.344,26.15,2019
Guinea-Bissau,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,61.726,46.134,47.338,50.799,57.466,54.069,56.967,50.019,59.231,66.949,78.066,2019
Kenya,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.212,23.572,24.176,25.396,27.15,27.195,27.65,26.064,25.599,25.414,25.699,2019
Kenya,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,44.403,43.05,43.88,43.96,42.858,48.612,50.534,56.881,60.235,62.141,68.687,2019
Lesotho,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,54.606,59.931,57.783,58.819,50.103,51.642,53.789,51.73,54.948,56.016,58.92,2020
Lesotho,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,34.095,36.443,39.848,41.193,41.32,45.574,40.432,39.873,49.566,49.288,50.264,2020
Liberia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.03,29.807,30.71,33.555,32.816,37.101,35.696,32.525,31.924,33.64,32.687,2019
Liberia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,23.979,21.263,19.36,19.713,23.852,26.39,28.474,33.659,39.705,55.376,61.767,2019
Madagascar,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,12.281,12.041,11.516,12.702,12.555,13.029,13.546,14.942,14.131,14.924,15.101,2020
Madagascar,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,32.341,29.947,30.435,36.243,37.848,44.062,40.281,40.136,39.774,37.784,43.58,2020
Malawi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.6,23.932,26.424,29.162,25.73,27.482,27.8,30.132,27.712,27.798,32.758,2019
Malawi,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,27.192,28.137,40.278,50.59,47.76,54.43,55.096,57.068,59.683,59.479,67.264,2019
Mali,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.261,20.562,15.531,19.759,20.018,20.939,22.258,22.921,20.307,23.114,25.472,2018
Mali,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,25.289,23.965,25.39,26.382,27.21,30.666,35.93,35.477,36.112,40.492,44.15,2018
Mauritius,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.504,23.359,22.161,23.82,22.997,24.39,24.032,24.42,24.763,30.465,31.614,2020
